date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:36	138/138	---M--	200	added ('OK')	text/plain	etag:%2221612df-8a-51647916ecc80%22	http://www.dodladairy.com/robots.txt		(from )
23:59:36	34694/34694	---M-Z	200	added ('OK')	text/html	etag:%22216518d-8786-55ba4626ec1d3-gzip%22	http://www.dodladairy.com/	C:/ball%20baba/doodla/www.dodladairy.com/index.html	(from )
23:59:38	118686/118686	---M--	200	added ('OK')	text/css	etag:%2221a0d7a-1cf9e-536cc5a778ec0%22	http://www.dodladairy.com/css/bootstrap.min.css	C:/ball%20baba/doodla/www.dodladairy.com/css/bootstrap.min.css	(from http://www.dodladairy.com/)
23:59:39	16840/16840	---M--	200	added ('OK')	text/css	etag:%2221a0d2d-41c8-536cc5a43d85a%22	http://www.dodladairy.com/css/bootstrap-responsive.min.css	C:/ball%20baba/doodla/www.dodladairy.com/css/bootstrap-responsive.min.css	(from http://www.dodladairy.com/)
23:59:40	22099/22099	---M--	200	added ('OK')	text/css	etag:%2221a0d8a-5653-536cc5abb0857%22	http://www.dodladairy.com/css/font-awesome.min.css	C:/ball%20baba/doodla/www.dodladairy.com/css/font-awesome.min.css	(from http://www.dodladairy.com/)
23:59:41	12734/12734	---M--	200	added ('OK')	text/css	etag:%2221a0d9d-31be-55af1a99d0628%22	http://www.dodladairy.com/css/main.css	C:/ball%20baba/doodla/www.dodladairy.com/css/main.css	(from http://www.dodladairy.com/)
23:59:41	5592/5592	---M--	200	added ('OK')	text/css	etag:%2221a0da1-15d8-556b2736da5f0%22	http://www.dodladairy.com/css/sl-slide.css	C:/ball%20baba/doodla/www.dodladairy.com/css/sl-slide.css	(from http://www.dodladairy.com/)
23:59:43	19560/19560	---M--	200	added ('OK')	application/javascript	etag:%2224e1720-4c68-536cc5ce18f2c%22	http://www.dodladairy.com/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	C:/ball%20baba/doodla/www.dodladairy.com/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	(from http://www.dodladairy.com/)
23:59:43	34694/34694	---M-Z	200	added ('OK')	text/html	etag:%22216518d-8786-55ba4626ec1d3-gzip%22	http://www.dodladairy.com/index.html	C:/ball%20baba/doodla/www.dodladairy.com/index-2.html	(from http://www.dodladairy.com/)
23:59:44	34782/34782	---M-Z	200	added ('OK')	text/html	etag:%222167fca-87de-55ba38665ad50-gzip%22	http://www.dodladairy.com/directors.html	C:/ball%20baba/doodla/www.dodladairy.com/directors.html	(from http://www.dodladairy.com/)
23:59:45	18266/18266	---M-Z	200	added ('OK')	text/html	etag:%2221675c9-475a-55ba3853ee390-gzip%22	http://www.dodladairy.com/our-values.html	C:/ball%20baba/doodla/www.dodladairy.com/our-values.html	(from http://www.dodladairy.com/)
23:59:45	37762/37762	---M--	200	added ('OK')	image/png	etag:%2224e2129-9382-536cca3f9909a%22	http://www.dodladairy.com/images/logo2.png	C:/ball%20baba/doodla/www.dodladairy.com/images/logo2.png	(from http://www.dodladairy.com/)
23:59:45	37284/37284	---M-Z	200	added ('OK')	text/html	etag:%22216118a-91a4-55ba38560b3ea-gzip%22	http://www.dodladairy.com/our-team.html	C:/ball%20baba/doodla/www.dodladairy.com/our-team.html	(from http://www.dodladairy.com/)
23:59:46	15579/15579	---M-Z	200	added ('OK')	text/html	etag:%22216812a-3cdb-55ba386c9593f-gzip%22	http://www.dodladairy.com/corporatebrochure.html	C:/ball%20baba/doodla/www.dodladairy.com/corporatebrochure.html	(from http://www.dodladairy.com/)
23:59:49	17414/17414	---M-Z	200	added ('OK')	text/html	etag:%22216123c-4406-55ba388caf705-gzip%22	http://www.dodladairy.com/products.html	C:/ball%20baba/doodla/www.dodladairy.com/products.html	(from http://www.dodladairy.com/)
23:59:49	20483/20483	---M-Z	200	added ('OK')	text/html	etag:%2221637f4-5003-55ba62d1eef2b-gzip%22	http://www.dodladairy.com/dodlamilk.html	C:/ball%20baba/doodla/www.dodladairy.com/dodlamilk.html	(from http://www.dodladairy.com/)
23:59:50	20022/20022	---M-Z	200	added ('OK')	text/html	etag:%222161651-4e36-55ba383cf48f6-gzip%22	http://www.dodladairy.com/cow-milk.html	C:/ball%20baba/doodla/www.dodladairy.com/cow-milk.html	(from http://www.dodladairy.com/)
23:59:51	20638/20638	---M-Z	200	added ('OK')	text/html	etag:%222161647-509e-55ba65d8b45e8-gzip%22	http://www.dodladairy.com/uht-milk.html	C:/ball%20baba/doodla/www.dodladairy.com/uht-milk.html	(from http://www.dodladairy.com/)
23:59:52	21574/21574	---M-Z	200	added ('OK')	text/html	etag:%222162173-5446-55ba388ac9598-gzip%22	http://www.dodladairy.com/dodla-curd.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-curd.html	(from http://www.dodladairy.com/)
23:59:52	19142/19142	---M-Z	200	added ('OK')	text/html	etag:%222168130-4ac6-55ba38889f638-gzip%22	http://www.dodladairy.com/dodla-ghee.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-ghee.html	(from http://www.dodladairy.com/)
23:59:53	18098/18098	---M-Z	200	added ('OK')	text/html	etag:%22216812f-46b2-55ba3886b90e3-gzip%22	http://www.dodladairy.com/dodla-paneer.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-paneer.html	(from http://www.dodladairy.com/)
23:59:53	19020/19020	---M-Z	200	added ('OK')	text/html	etag:%22216812e-4a4c-55ba3884cc216-gzip%22	http://www.dodladairy.com/dodla-doodh-peda.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-doodh-peda.html	(from http://www.dodladairy.com/)
23:59:54	19290/19290	---M-Z	200	added ('OK')	text/html	etag:%22216811c-4b5a-55ba3882dff01-gzip%22	http://www.dodladairy.com/dodla-butter-milk.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-butter-milk.html	(from http://www.dodladairy.com/)
23:59:55	21435/21435	---M-Z	200	added ('OK')	text/html	etag:%22216812b-53bb-55ba3880ecaa4-gzip%22	http://www.dodladairy.com/dodla-flavoured-milk.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-flavoured-milk.html	(from http://www.dodladairy.com/)
23:59:55	20415/20415	---M-Z	200	added ('OK')	text/html	etag:%222166c3f-4fbf-55ba387ec4a84-gzip%22	http://www.dodladairy.com/dodla-cooking-butter.html	C:/ball%20baba/doodla/www.dodladairy.com/dodla-cooking-butter.html	(from http://www.dodladairy.com/)
23:59:56	11889/11889	---M-Z	200	added ('OK')	text/html	etag:%22216812d-2e71-55ba384a27434-gzip%22	http://www.dodladairy.com/procurement.html	C:/ball%20baba/doodla/www.dodladairy.com/procurement.html	(from http://www.dodladairy.com/)
23:59:56	16696/16696	---M-Z	200	added ('OK')	text/html	etag:%222166ca8-4138-55ba38583052e-gzip%22	http://www.dodladairy.com/ops.html	C:/ball%20baba/doodla/www.dodladairy.com/ops.html	(from http://www.dodladairy.com/)
23:59:57	22091/22091	---M-Z	200	added ('OK')	text/html	etag:%222161083-564b-55ba385a51fc0-gzip%22	http://www.dodladairy.com/nellore.html	C:/ball%20baba/doodla/www.dodladairy.com/nellore.html	(from http://www.dodladairy.com/)
23:59:58	19069/19069	---M-Z	200	added ('OK')	text/html	etag:%222168128-4a7d-55ba3878c53da-gzip%22	http://www.dodladairy.com/badvel.html	C:/ball%20baba/doodla/www.dodladairy.com/badvel.html	(from http://www.dodladairy.com/)
23:59:59	18546/18546	---M-Z	200	added ('OK')	text/html	etag:%222161047-4872-55ba385e2cd01-gzip%22	http://www.dodladairy.com/koppal.html	C:/ball%20baba/doodla/www.dodladairy.com/koppal.html	(from http://www.dodladairy.com/)
00:00:00	19075/19075	---M-Z	200	added ('OK')	text/html	etag:%222160fff-4a83-55ba385c3db09-gzip%22	http://www.dodladairy.com/kurnool.html	C:/ball%20baba/doodla/www.dodladairy.com/kurnool.html	(from http://www.dodladairy.com/)
00:00:00	19240/19240	---M-Z	200	added ('OK')	text/html	etag:%2221611b4-4b28-55ba384dfcf6d-gzip%22	http://www.dodladairy.com/palamaneer.html	C:/ball%20baba/doodla/www.dodladairy.com/palamaneer.html	(from http://www.dodladairy.com/)
00:00:01	19159/19159	---M-Z	200	added ('OK')	text/html	etag:%2221611cd-4ad7-55ba384c11424-gzip%22	http://www.dodladairy.com/penumur.html	C:/ball%20baba/doodla/www.dodladairy.com/penumur.html	(from http://www.dodladairy.com/)
00:00:02	18610/18610	---M-Z	200	added ('OK')	text/html	etag:%22216126f-48b2-55ba38442a0a9-gzip%22	http://www.dodladairy.com/sattenapalley.html	C:/ball%20baba/doodla/www.dodladairy.com/sattenapalley.html	(from http://www.dodladairy.com/)
00:00:02	16066/16066	---M-Z	200	added ('OK')	text/html	etag:%222168137-3ec2-55ba38405f921-gzip%22	http://www.dodladairy.com/tumkur.html	C:/ball%20baba/doodla/www.dodladairy.com/tumkur.html	(from http://www.dodladairy.com/)
00:00:03	16293/16293	---M-Z	200	added ('OK')	text/html	etag:%22216127e-3fa5-55ba384246649-gzip%22	http://www.dodladairy.com/tanuku.html	C:/ball%20baba/doodla/www.dodladairy.com/tanuku.html	(from http://www.dodladairy.com/)
